,Point,Explanation,English,SentenceJapanese,Hint,SentenceCloze,ClozeAnswer,SentenceEnglish
10503,Verb-masu; i-Adjective-stem + く (NECKTIE),"The masu stem of a verb and the stem of an i-adjective + く indicate that the sentence is continuing.  THat is, they function like the English sentence connect ""and."" This use is generally restricted to written language. In spoken language the te-form of a verb or an i-adjective is commonly used.",and,兄と違い、僕はスポーツがあまり得意じゃない,differ and,兄と{}、僕はスポーツがあまり得意じゃない,違い,"Unlike my brother, I am not very good at sports"
10601,Verb-non-past こと{が/も} ある,"V-plain.non-past ことがある is used when something occurs (or someone does something) occasionally.  も implies that something else may also occur. Note: This phrase should not be confused with the prase V-plain.past ことがある (e.g. 日本に行ったことがある), which has a different meaning",There are times when ~; sometimes,晩御飯はたいてい家で食べますが、時々友達とレストランに行くこともあります,Sometimes go,晩御飯はたいてい家で食べますが、時々友達とレストランに{},行くこともあります,"I normally eat dinner at home, but sometimes I go to a restaurant with my friends"
10602,Verb-non-past こと{が/も} ある,"V-plain.non-past ことがある is used when something occurs (or someone does something) occasionally.  も implies that something else may also occur. Note: This phrase should not be confused with the prase V-plain.past ことがある (e.g. 日本に行ったことがある), which has a different meaning",There are times when ~; sometimes,文法の説明を読んでもわからないことがある。そんな時は先生に聞きに行くことにしている。,there are times when I don't understand,文法の説明を読んでも{}。そんな時は先生に聞きに行くことにしている。,わからないことがある,There are things that I do not understand even if I read the grammar explanation. In such a case I will go to ask the teacher.
10603,Verb-non-past こと{が/も} ある,"V-plain.non-past ことがある is used when something occurs (or someone does something) occasionally.  も implies that something else may also occur. Note: This phrase should not be confused with the prase V-plain.past ことがある (e.g. 日本に行ったことがある), which has a different meaning",There are times when ~; sometimes,ハワイは一年中気温が高いけれど、高い山で雪が降ることもあるそうだ。,sometimes snows,ハワイは一年中気温が高いけれど、高い山で{}そうだ。,雪が降ることもある,"Hawaii has a high temperature all year round, but sometimes snow falls on high mountains."
10701,{Noun1/Question-word ~か/~かどうか}はNoun2に{よって違う/よる},"This structure is used to indicate that something differs depending on the situation, location, time, etc.",~によって違う = differ depending on ~ による = depend on ~,性格は人によって違います,differes depending on,性格は人{},によって違います,Character is different from person to person
10702,{Noun1/Question-word ~か/~かどうか}はNoun2に{よって違う/よる},"This structure is used to indicate that something differs depending on the situation, location, time, etc.",~によって違う = differ depending on ~ による = depend on ~,私によって、読み物が難しいかどうかは、漢字の多さによります,differes depending on,私{}、読み物{}は、漢字の多さによります,によって/が難しいかどうか,Whether reading is difficult for me depends on the number of kanji
10703,{Noun1/Question-word ~か/~かどうか}はNoun2に{よって違う/よる},"This structure is used to indicate that something differs depending on the situation, location, time, etc.",~によって違う = differ depending on ~ による = depend on ~,どの大学に留学するかは、もらえる奨学金による。,differes depending on,どの大学に留学するかは、もらえる奨学金{}。,による,Which university I would like to study abroad at depends on the scholarship I receive.
10801,Verb-masu 始める,"始める in this use is an auxiliary verb meaning ""begin to V.""",V-masu 始める,この地方では、11月になると雪が降り始めます,begin snowing,この地方では、11月になると{},雪が降り始めます,"In this region, it will begin to snow in November"
10802,Verb-masu 始める,"始める in this use is an auxiliary verb meaning ""begin to V.""",V-masu 始める,私の弟は１歳の時、歩き始めました。そして、１歳半になったとき、話し始めました。,began talking,私の弟は１歳の時、歩き始めました。そして、１歳半になったとき、{}。,話し始めました,"My brother began walking when we was one. And then at 1 and a half, he began talking."
10803,Verb-masu 始める,"始める in this use is an auxiliary verb meaning ""begin to V.""",V-masu 始める,毎晩コーラス部の練習があるので、勉強をし始めるのはいつも１０過ぎだ。,begin studying,毎晩コーラス部の練習があるので、{}のはいつも１０過ぎだ。,勉強をし始める,Every night I have chorus club practice so I don't get to begin studying until after 10.
10901,Noun1+Particleの+Noun2,"In some situations, A in AのB is a noun with a particle such as へ、で、と、から、and まで. が、を、and に never occur in this position.  Note that の cannot be omitted in this case because it indicates that the preceding noun phrase and particle modifies the following noun phrase.  Without の, the noun phrase with the particle is interpreted as an adverbial phrase modifying the predicate in the clause.",N1+Part+の+N2,友達へのプレゼント,A present for a friend,友達{}プレゼント,への,A present for a friend
10902,Noun1+Particle+の+Noun2,"In some situations, A in AのB is a noun with a particle such as へ、で、と、から、and まで. が、を、and に never occur in this position.  Note that の cannot be omitted in this case because it indicates that the preceding noun phrase and particle modifies the following noun phrase.  Withoutt の, the noun phrase with the particle is interpreted as an adverbial phrase modifying the predicate in the clause.",N1+Part+の+N3,日本での仕事,A job in Japan,日本{}仕事,での,A job in Japan
10903,Noun1+Particle+の+Noun2,"In some situations, A in AのB is a noun with a particle such as へ、で、と、から、and まで. が、を、and に never occur in this position.  Note that の cannot be omitted in this case because it indicates that the preceding noun phrase and particle modifies the following noun phrase.  Withoutt の, the noun phrase with the particle is interpreted as an adverbial phrase modifying the predicate in the clause.",N1+Part+の+N4,先生とのミーティング,A meeting with the teacher,先生{}ミーティング,との,A meeting with the teacher
11001,～は Sentence と言われている (NECKTIE),This structure is used to introduce something commonly said about something or someone.,~ is said to be ~; It is said that ~,世界で一番長い川はナイルかわだと言われているが、アマゾン川だと言う人もいる,is said to be the nile,世界で一番長い川{}が、アマゾン川だと言う人もいる,はナイルかわだと言われている,"Some people say that the longest river in the world is Nile, but others say it is the Amazon River"
11002,～は Sentence と言われている (NECKTIE),This structure is used to introduce something commonly said about something or someone.,~ is said to be ~; It is said that ~,「電気の町」秋葉原は、最近「オタクの町」だも言われている,is also called otaku town,「電気の町」秋葉原は、最近{},「オタクの町」だも言われている,"""Electric town"" Akihabara is said to be ""a town of otaku"" recently"
11003,～は Sentence と言われている (NECKTIE),This structure is used to introduce something commonly said about something or someone.,~ is said to be ~; It is said that ~,風邪を引いた時はビタミンCをたくさん取るといいと言われている,it is said it is good to take,風邪を引いた時はビタミンCをたくさん{},取るといいと言われている,"While you have a cold, it is said to take a lot of vitamin C."
11101,～と言えば,"～と言えば, which literally means ""if you say that ~,"" is used to present, as the topic, something or someone that has just been mentioned by the hearer or the speaker.",Speaking of ~,A: これは昔話の絵本ですね。B:そうですね。あ、昔話と言えば、木の　「桃太郎」の紙芝居を見ましたよ。,Speaking of old stories,A: これは昔話の絵本ですね。B:そうですね。あ、{}、木の　「桃太郎」の紙芝居を見ましたよ。,昔話と言えば,"A: This is an old story book. B: That's right. Oh, speaking of old stories, I saw the picture-story show of the tree ""Momotaro""."
11102,～と言えば,"～と言えば, which literally means ""if you say that ~,"" is used to present, as the topic, something or someone that has just been mentioned by the hearer or the speaker.",Speaking of ~,A: 今晩、道子さんに会うんです。B: そうですか。道子さんと言えば、来月田中さんと結婚すると聞きましたが、本当ですか。,Speaking of Michiko-san,A: 今晩、道子さんに会うんです。B: そうですか。{}、来月田中さんと結婚すると聞きましたが、本当ですか。,道子さんと言えば,"A: I will see Mr. Michiko this evening. B: I see. Speaking of Mr. Michiko, I heard that he will marry Mrs. Tanaka next month, is it true?"
11103,～と言えば,"～と言えば, which literally means ""if you say that ~,"" is used to present, as the topic, something or someone that has just been mentioned by the hearer or the speaker.",Speaking of ~,A: 私の両親は、今香港に住んでいるんです。B: いいですね。香港と言えば、山の上から見る夜の景色がすばらしいそうですね。,Speaking of Hong Kong,A: 私の両親は、今香港に住んでいるんです。B: いいですね。{}、山の上から見る夜の景色がすばらしいそうですね。,香港と言えば,"A: My parents live in Hong Kong now. B: Cool. Speaking of Hong Kong, it seems that the nighttime view from the top of the mountain is wonderful."
11201,,,,,,,,
11202,,,,,,,,
11203,,,,,,,,
11301,,,,,,,,
11302,,,,,,,,
11303,,,,,,,,
11401,,,,,,,,
11402,,,,,,,,
11403,,,,,,,,
11501,,,,,,,,
11502,,,,,,,,
11503,,,,,,,,
11601,,,,,,,,
11602,,,,,,,,
11603,,,,,,,,
