,Point,Explanation,English,SentenceJapanese,Hint,SentenceCloze,ClozeAnswer,SentenceEnglish
10503,Verb-masu; i-Adjective-stem + く (NECKTIE),"The masu stem of a verb and the stem of an i-adjective + く indicate that the sentence is continuing.  THat is, they function like the English sentence connect ""and."" This use is generally restricted to written language. In spoken language the te-form of a verb or an i-adjective is commonly used.",and,兄と違い、僕はスポーツがあまり得意じゃない,differ and,兄と{}、僕はスポーツがあまり得意じゃない,違い,"Unlike my brother, I am not very good at sports"
10601,Verb-non-past こと{が/も} ある,"V-plain.non-past ことがある is used when something occurs (or someone does something) occasionally.  も implies that something else may also occur. Note: This phrase should not be confused with the prase V-plain.past ことがある (e.g. 日本に行ったことがある), which has a different meaning",There are times when ~; sometimes,晩御飯はたいてい家で食べますが、時々友達とレストランに行くこともあります,Sometimes go,晩御飯はたいてい家で食べますが、時々友達とレストランに{},行くこともあります,"I normally eat dinner at home, but sometimes I go to a restaurant with my friends"
10602,Verb-non-past こと{が/も} ある,"V-plain.non-past ことがある is used when something occurs (or someone does something) occasionally.  も implies that something else may also occur. Note: This phrase should not be confused with the prase V-plain.past ことがある (e.g. 日本に行ったことがある), which has a different meaning",There are times when ~; sometimes,文法の説明を読んでもわからないことがある。そんな時は先生に聞きに行くことにしている。,there are times when I don't understand,文法の説明を読んでも{}。そんな時は先生に聞きに行くことにしている。,わからないことがある,There are things that I do not understand even if I read the grammar explanation. In such a case I will go to ask the teacher.
10603,Verb-non-past こと{が/も} ある,"V-plain.non-past ことがある is used when something occurs (or someone does something) occasionally.  も implies that something else may also occur. Note: This phrase should not be confused with the prase V-plain.past ことがある (e.g. 日本に行ったことがある), which has a different meaning",There are times when ~; sometimes,ハワイは一年中気温が高いけれど、高い山で雪が降ることもあるそうだ。,sometimes snows,ハワイは一年中気温が高いけれど、高い山で{}そうだ。,雪が降ることもある,"Hawaii has a high temperature all year round, but sometimes snow falls on high mountains."
10701,{Noun1/Question-word ~か/~かどうか}はNoun2に{よって違う/よる},"This structure is used to indicate that something differs depending on the situation, location, time, etc.",~によって違う = differ depending on ~ による = depend on ~,性格は人によって違います,differs depending on,性格は人{},によって違います,Character is different from person to person
10702,{Noun1/Question-word ~か/~かどうか}はNoun2に{よって違う/よる},"This structure is used to indicate that something differs depending on the situation, location, time, etc.",~によって違う = differ depending on ~ による = depend on ~,私によって、読み物が難しいかどうかは、漢字の多さによります,differs depending on,私{}、読み物{}は、漢字の多さによります,によって/が難しいかどうか,Whether reading is difficult for me depends on the number of kanji
10703,{Noun1/Question-word ~か/~かどうか}はNoun2に{よって違う/よる},"This structure is used to indicate that something differs depending on the situation, location, time, etc.",~によって違う = differ depending on ~ による = depend on ~,どの大学に留学するかは、もらえる奨学金による。,differs depending on,どの大学に留学するかは、もらえる奨学金{}。,による,Which university I would like to study abroad at depends on the scholarship I receive.
10801,Verb-masu 始める,"始める in this use is an auxiliary verb meaning ""begin to V.""",V-masu 始める,この地方では、11月になると雪が降り始めます,begin snowing,この地方では、11月になると{},雪が降り始めます,"In this region, it will begin to snow in November"
10802,Verb-masu 始める,"始める in this use is an auxiliary verb meaning ""begin to V.""",V-masu 始める,私の弟は１歳の時、歩き始めました。そして、１歳半になったとき、話し始めました。,began talking,私の弟は１歳の時、歩き始めました。そして、１歳半になったとき、{}。,話し始めました,"My brother began walking when we was one. And then at 1 and a half, he began talking."
10803,Verb-masu 始める,"始める in this use is an auxiliary verb meaning ""begin to V.""",V-masu 始める,毎晩コーラス部の練習があるので、勉強をし始めるのはいつも１０過ぎだ。,begin studying,毎晩コーラス部の練習があるので、{}のはいつも１０過ぎだ。,勉強をし始める,Every night I have chorus club practice so I don't get to begin studying until after 10.
10901,Noun1+Particleの+Noun2,"In some situations, A in AのB is a noun with a particle such as へ、で、と、から、and まで. が、を、and に never occur in this position.  Note that の cannot be omitted in this case because it indicates that the preceding noun phrase and particle modifies the following noun phrase.  Without の, the noun phrase with the particle is interpreted as an adverbial phrase modifying the predicate in the clause.",N1+Part+の+N2,友達へのプレゼント,A present for a friend,友達{}プレゼント,への,A present for a friend
10902,Noun1+Particle+の+Noun2,"In some situations, A in AのB is a noun with a particle such as へ、で、と、から、and まで. が、を、and に never occur in this position.  Note that の cannot be omitted in this case because it indicates that the preceding noun phrase and particle modifies the following noun phrase.  Without の, the noun phrase with the particle is interpreted as an adverbial phrase modifying the predicate in the clause.",N1+Part+の+N3,日本での仕事,A job in Japan,日本{}仕事,での,A job in Japan
10903,Noun1+Particle+の+Noun2,"In some situations, A in AのB is a noun with a particle such as へ、で、と、から、and まで. が、を、and に never occur in this position.  Note that の cannot be omitted in this case because it indicates that the preceding noun phrase and particle modifies the following noun phrase.  Without の, the noun phrase with the particle is interpreted as an adverbial phrase modifying the predicate in the clause.",N1+Part+の+N4,先生とのミーティング,A meeting with the teacher,先生{}ミーティング,との,A meeting with the teacher
11001,～は Sentence と言われている (NECKTIE),This structure is used to introduce something commonly said about something or someone.,~ is said to be ~; It is said that ~,世界で一番長い川はナイルかわだと言われているが、アマゾン川だと言う人もいる,is said to be the nile,世界で一番長い川{}が、アマゾン川だと言う人もいる,はナイル川だと言われている,"Some people say that the longest river in the world is Nile, but others say it is the Amazon River"
11002,～は Sentence と言われている (NECKTIE),This structure is used to introduce something commonly said about something or someone.,~ is said to be ~; It is said that ~,「電気の町」秋葉原は、最近「オタクの町」だも言われている,is also called otaku town,「電気の町」秋葉原は、最近{},「オタクの町」だも言われている,"""Electric town"" Akihabara is said to be ""a town of otaku"" recently"
11003,～は Sentence と言われている (NECKTIE),This structure is used to introduce something commonly said about something or someone.,~ is said to be ~; It is said that ~,風邪を引いた時はビタミンCをたくさん取るといいと言われている,it is said it is good to take,風邪を引いた時はビタミンCをたくさん{},取るといいと言われている,"While you have a cold, it is said to take a lot of vitamin C."
11101,～と言えば,"～と言えば, which literally means ""if you say that ~,"" is used to present, as the topic, something or someone that has just been mentioned by the hearer or the speaker.",Speaking of ~,A: これは昔話の絵本ですね。B:そうですね。あ、昔話と言えば、木の　「桃太郎」の紙芝居を見ましたよ。,Speaking of old stories,A: これは昔話の絵本ですね。B:そうですね。あ、{}、木の　「桃太郎」の紙芝居を見ましたよ。,昔話と言えば,"A: This is an old story book. B: That's right. Oh, speaking of old stories, I saw the picture-story show of the tree ""Momotaro""."
11102,～と言えば,"～と言えば, which literally means ""if you say that ~,"" is used to present, as the topic, something or someone that has just been mentioned by the hearer or the speaker.",Speaking of ~,A: 今晩、道子さんに会うんです。B: そうですか。道子さんと言えば、来月田中さんと結婚すると聞きましたが、本当ですか。,Speaking of Michiko-san,A: 今晩、道子さんに会うんです。B: そうですか。{}、来月田中さんと結婚すると聞きましたが、本当ですか。,道子さんと言えば,"A: I will see Mr. Michiko this evening. B: I see. Speaking of Mr. Michiko, I heard that he will marry Mrs. Tanaka next month, is it true?"
11103,～と言えば,"～と言えば, which literally means ""if you say that ~,"" is used to present, as the topic, something or someone that has just been mentioned by the hearer or the speaker.",Speaking of ~,A: 私の両親は、今香港に住んでいるんです。B: いいですね。香港と言えば、山の上から見る夜の景色がすばらしいそうですね。,Speaking of Hong Kong,A: 私の両親は、今香港に住んでいるんです。B: いいですね。{}、山の上から見る夜の景色がすばらしいそうですね。,香港と言えば,"A: My parents live in Hong Kong now. B: Cool. Speaking of Hong Kong, it seems that the nighttime view from the top of the mountain is wonderful."
11201,～とか（～とか）（Teeshirt),"～とか is used to list examples non-exhaustively. It is similar to や in meaning when the examples listed are nouns. Unlike や, however, とか can also be preceded by verb phrases. When two or more items are listed, とか after the final item is option when it is followed by a particle and mandatory otherwise (note that や does not occur after the final item)",things/places/etc. like ~; and; or,週末はたいてい洗濯とか掃除（とか）をします。,laundry and cleaning (among other things),週末はたいてい{} をします。,洗濯とか掃除（とか）,I usually do washing and cleaning (among other things) on weekends.
11202,～とか（～とか）（Teeshirt),"～とか is used to list examples non-exhaustively. It is similar to や in meaning when the examples listed are nouns. Unlike や, however, とか can also be preceded by verb phrases. When two or more items are listed, とか after the final item is option when it is followed by a particle and mandatory otherwise (note that や does not occur after the final item)",things/places/etc. like ~; and; or,フィンランド語とかトルコ語とか、みんながあまり勉強していない言葉を勉強してみたい。,Finnish and turkish (among other languages),{}、みんながあまり勉強していない言葉を勉強してみたい。,フィンランド語とかトルコ語とか,I'd like to study Finnish and Turkish (among other languages) and the languages that people do not study much.
11203,～とか（～とか）（Teeshirt),"～とか is used to list examples non-exhaustively. It is similar to や in meaning when the examples listed are nouns. Unlike や, however, とか can also be preceded by verb phrases. When two or more items are listed, とか after the final item is option when it is followed by a particle and mandatory otherwise (note that や does not occur after the final item)",things/places/etc. like ~; and; or,漢字を覚える時は、フラッシュカードを作るとか、何回も書くとかするといいですよ。,making flashcards and (among other things),漢字を覚える時は、{}、何回も書くとかするといいですよ。,フラッシュカードを作るとか,"When memorizing kanji, you should write a flash card and (among other things) write it many times."
11301,～というのは｛Noun のこと/ Noun ということ/ Sentence ということ/ Sentence という意味｝だ,This structure ～というのば～だ is used to provide the meaning or definition of a word or phrase,X means ~; The meaning of X is ~; What X means is ~,パソコンというのは、パーソナルコンピュータのことです,means personal computer,パソコン{},というのは、パーソナルコンピュータのことです,A personal computer is a personal computer
11302,～というのは｛Noun のこと/ Noun ということ/ Sentence ということ/ Sentence という意味｝だ,This structure ～というのば～だ is used to provide the meaning or definition of a word or phrase,X means ~; The meaning of X is ~; What X means is ~,留学するというのは、外国で勉強するということだ,means studying outside the country,留学する{},というのは、外国で勉強するということだ,To study abroad is to study in a foreign country
11303,～というのは｛Noun のこと/ Noun ということ/ Sentence ということ/ Sentence という意味｝だ,This structure ～というのば～だ is used to provide the meaning or definition of a word or phrase,X means ~; The meaning of X is ~; What X means is ~,「話せる」というのは、「話すことができる」という意味だ,has the meaning of being able to talk,「話せる」{},というのは、「話すことができる」という意味だ,"""I can talk"" means ""I can speak"""
11401,"～だけ｛でなく（て) / じゃなく（て）},　～も","The sentence structures ～だけでなく、～も, etc. express the idea ""not only X, but also Y."" Particles に、で、と、or から may appear before も","not only ~, but also ~",日本語はひらがなだけでなく、カタカナや漢字も覚えなくてはいけません。,not only hiragana but katakana and kanji,日本語はひらがな{}覚えなくてはいけません。,だけでなく、カタカナや漢字も,"In Japanese, not only Hiragana but also Katakana and Kanji have to be learned."
11402,"～だけ｛でなく（て) / じゃなく（て）},　～も","The sentence structures ～だけでなく、～も, etc. express the idea ""not only X, but also Y."" Particles に、で、と、or から may appear before も","not only ~, but also ~","「すみません」は、""I'm sorry""という意味だけでなく、""Excuse Me""という意味もあります","not only I'm sorry"" but also the meaning of ""excuse me""","「すみません」は、""I'm sorry""という意味{}あります","だけでなく、""Excuse Me""という意味も","""Sorry"" does not only mean ""I'm sorry"" but also ""Excuse Me"""
11403,"～だけ｛でなく（て) / じゃなく（て）},　～も","The sentence structures ～だけでなく、～も, etc. express the idea ""not only X, but also Y."" Particles に、で、と、or から may appear before も","not only ~, but also ~",その映画は面白いだけじゃなくて、音楽もいいよ。,not only interesting but good music too (I tell ya what),その映画は面白い{}いいよ。,だけじゃなくて、音楽も,"That movie is not only fun, but the music is good too."
11501,Noun って (Teeshirt),"って is a colloquial topic marker. It often appears in questions. In written language, は can be used","Speaking of ~, as for ~",田中さんの嫌いな食べ物って何？,hated food topic,田中さんの{}何？,嫌いな食べ物って,What is Tanaka's disliked food?
11502,Noun って (Teeshirt),"って is a colloquial topic marker. It often appears in questions. In written language, は can be used","Speaking of ~, as for ~",宮崎駿のアニメって、いいよね。,Miyazaki anime topic,｛｝、いいよね。,宮崎駿のアニメって,Hayao Miyazaki's animation is good.
11503,Noun って (Teeshirt),"って is a colloquial topic marker. It often appears in questions. In written language, は can be used","Speaking of ~, as for ~",漢字って、覚えてもすぐ忘れちゃうよね。,kanji topic,{}、覚えてもすぐ忘れちゃうよね。,漢字って,"Even if I remember Kanji, I will soon forget it."
11601,～って｛いう/聞く/書く/etc.｝(Teeshirt),って is the informal colloquial form of the quotative marker と. って commonly occurs with verbs like 言う、聞く、書く、and 呼ぶ. （何がないって？ in the second setence above is the abbreviated form of 何がないって言ったの？),"(tell, hear, say, etc.) that ～",田中さん、5時に来るって言ってたけど、まだ来ないね。,said he would come back,田中さん、5時に{}けど、まだ来ないね。,来るって言ってた,"Mr. Tanaka said that he will come at 5 o'clock, but he has not come yet."
11602,～って｛いう/聞く/書く/etc.｝(Teeshirt),って is the informal colloquial form of the quotative marker と. って commonly occurs with verbs like 言う、聞く、書く、and 呼ぶ. （何がないって？ in the second setence above is the abbreviated form of 何がないって言ったの？),"(tell, hear, say, etc.) that ～",明日はテストがないって聞いたけど、本当？,heard there is no test,明日はテストが{}けど、本当？,ないって聞いた,"I heard there is no test tomorrow, is that true?"
11603,～って｛いう/聞く/書く/etc.｝(Teeshirt),って is the informal colloquial form of the quotative marker と. って commonly occurs with verbs like 言う、聞く、書く、and 呼ぶ. （何がないって？ in the second setence above is the abbreviated form of 何がないって言ったの？),"(tell, hear, say, etc.) that ～",僕の名前は「つとむ」だけど、友達は「トム」って呼ぶんだ。,calls me,僕の名前は「つとむ」だけど、友達は「トム」{}。,って呼ぶんだ,"My name is ""Tsutomu"", but my friend calls me ""Tom."""
,,,,,,,,
20101,～なければ｛いけない/ならない｝；～なくては｛いけない/ならない｝,"These patterns express the idea of obligation. Although the two patterns are interchangeable, there is a subtle difference between ならない and いけない. That is ならない is commonly used when the speaker states his/her sense of obligation while いけない is commonly used when the sense of obligation is directed toward the hearer (i.e. the speaker wants to impose a certain obligation on the hearer.) The following forms are used in casual conversation なければならない＞なきゃならない＞なきゃなんない　なくてはならない＞なくちゃならない＞なくちゃんない. ならない/なんない　in the sentence-final position may be omitted.",have to; must; should,国民はみんな税金を払わなければなりません。,"have to pay (masu form, no contractions)",国民はみんな税金を{}。,払わなければなりません,Every citizen must pay taxes.
20102,～なければ｛いけない/ならない｝；～なくては｛いけない/ならない｝,"These patterns express the idea of obligation. Although the two patterns are interchangeable, there is a subtle difference between ならない and いけない. That is ならない is commonly used when the speaker states his/her sense of obligation while いけない is commonly used when the sense of obligation is directed toward the hearer (i.e. the speaker wants to impose a certain obligation on the hearer.) The following forms are used in casual conversation なければならない＞なきゃならない＞なきゃなんない　なくてはならない＞なくちゃならない＞なくちゃんない. ならない/なんない　in the sentence-final position may be omitted.",have to; must; should,調べなきゃならないことがあるから、図書館に行ってくるよ。,have to look into something (contracted),{}ことがあるから、図書館に行ってくるよ。,調べなきゃならない,"Because I have to look into something, I will go to the library."
20103,～なければ｛いけない/ならない｝；～なくては｛いけない/ならない｝,"These patterns express the idea of obligation. Although the two patterns are interchangeable, there is a subtle difference between ならない and いけない. That is ならない is commonly used when the speaker states his/her sense of obligation while いけない is commonly used when the sense of obligation is directed toward the hearer (i.e. the speaker wants to impose a certain obligation on the hearer.) The following forms are used in casual conversation なければならない＞なきゃならない＞なきゃなんない　なくてはならない＞なくちゃならない＞なくちゃんない. ならない/なんない　in the sentence-final position may be omitted.",have to; must; should,郵便局に行って来なくちゃなんないから、ちょっとここで待ってて。,have to go and come (contracted),郵便局に{}から、ちょっとここで待ってて。,行って来なくちゃなんない,"I have to go to the post office, so please wait here for a while."
20201,~など,"など indicated that the given list is not exhaustive. When more than one item is listed, や is commonly used to connect them.",Not exhaustive,日本の食べ物の中では、寿司やてんぷらなどが好きです。,sushi and tempura (non-exhaustive),日本の食べ物の中では、{}好きです。,寿司やてんぷらなどが,"Among the foods in Japan, I like sushi and tempura."
20202,~など,"など indicated that the given list is not exhaustive. When more than one item is listed, や is commonly used to connect them.",Not exhaustive,今学期は日本語やアジアの歴史などのクラスを取っています。,japanese language and asian history (non-exhaustive),今学期は{}のクラスを取っています。,日本語やアジアの歴史など,I'm taking classes such as Japanese and Asian history this semester.
20203,~など,"など indicated that the given list is not exhaustive. When more than one item is listed, や is commonly used to connect them.",Not exhaustive,日本語には「いらっしゃいます」や「召し上がります」など、色々な敬語がある。,"honorific ""welcome"" and honorific ""eat"" (non-exhaustive list)",日本語には{}、色々な敬語がある。,「いらっしゃいます」や「召し上がります」など,"There are various honorific expression in Japanese such as ""Welcome"" and ""I will eat."""
20301,～は～の一つだ,"This structure is used to describer X while indicating that X is not the only example, object, person, etc.",X is one of the ~,漢字は日本語の勉強で最も大切なものの一つです。,one of the most important things,漢字は日本語の勉強で{}です。,最も大切なものの一つ,Kanji is one of the most important things in studying Japanese.
20302,～は～の一つだ,"This structure is used to describer X while indicating that X is not the only example, object, person, etc.",X is one of the ~,アラビア語は最も難しい言葉の一つだと言われています。,one of the most difficult languages,アラビア語は{}と言われています。,最も難しい言葉の一つだ,Arabic is said to be one of the most difficult languages.
20303,～は～の一つだ,"This structure is used to describer X while indicating that X is not the only example, object, person, etc.",X is one of the ~,モーツアルトは、最も人気がある作曲家の一つです。,one of the most popular composers,モーツアルトは、{}です。,最も人気がある作曲家の一つ,Mozart is one of the most popular composers.
20401,Noun にとって,"Xにとって means ""to X; for X"" in a context where something (or someone) is important to X, or is necessary, useful, good, difficult, etc. for X. X is often a person, a geographic unit or an organization.",for; to,あなたにとって、一番大切な人は誰ですか。,for you,{}、一番大切な人は誰ですか。,あなたにとって,Who is the most important person for you?
20402,Noun にとって,"Xにとって means ""to X; for X"" in a context where something (or someone) is important to X, or is necessary, useful, good, difficult, etc. for X. X is often a person, a geographic unit or an organization.",for; to,僕にとって忘れられない場所は、彼女と初めて会った喫茶店です。,for me (male I),{}忘れられない場所は、彼女と初めて会った喫茶店です。,僕にとって,The place I can never forget is a coffee shop I met with her for the first time.
20403,Noun にとって,"Xにとって means ""to X; for X"" in a context where something (or someone) is important to X, or is necessary, useful, good, difficult, etc. for X. X is often a person, a geographic unit or an organization.",for; to,私にとって一番大切なものは私の猫だが、猫にとって一番大切なものは食べ物のようだ。,"for me (female I), for cat",{}一番大切なものは私の猫だが、{}一番大切なものは食べ物のようだ。,私にとって/猫にとって,"The most important thing to me is my cat, but the most important thing my cat is food."
20501,Noun の代わりに,"の代わりに is used to present something.someone that is replacing or has replaced something/someone. When the context is clear, Noun の can be omitted.",in place of; instead of; to make up for,ペンの代わりに鉛筆を使って書いてください。,instead of a pen,{}鉛筆を使って書いてください。,ペンの代わりに,Please write with a pencil instead of a pen.
20502,Noun の代わりに,"の代わりに is used to present something.someone that is replacing or has replaced something/someone. When the context is clear, Noun の can be omitted.",in place of; instead of; to make up for,母が病気だったので、（母の）代わりに私が晩御飯を作りました。,instead of my mother,母が病気だったので、{}私が晩御飯を作りました。,（母の）代わりに,"Because my mother was sick, I made dinner instead (of my mother)."
20503,Noun の代わりに,"の代わりに is used to present something.someone that is replacing or has replaced something/someone. When the context is clear, Noun の can be omitted.",in place of; instead of; to make up for,最近、日本でも現金の代わりにカードを使う人が多くなっだ。,instead of cash,最近、日本でも{}カードを使う人が多くなっだ。,現金の代わりに,"Recently, many people use credit cards instead of cash in Japan."
20601,～ため（に）[PURPOSE],"When ため（に）is preceded by a noun or the non-past form of a verb, it indicates either purpose or reason/cause. In different contexts Noun のため（に）also indicates benifit.",in order to; to; for the purpose of for; for the sake of,私は健康のため、エレベーターに乗らないで階段を使うことにしています。,for health,私は{}、エレベーターに乗らないで階段を使うことにしています。,健康のため,"For the sake of my health, I decide to use the stairs without taking the elevator."
20602,～ため（に）[PURPOSE],"When ため（に）is preceded by a noun or the non-past form of a verb, it indicates either purpose or reason/cause. In different contexts Noun のため（に）also indicates benifit.",in order to; to; for the purpose of for; for the sake of,日本中を安く旅行するために、JRパスを買おうと思っている。,to travel cheaply,日本中を{}、JRパスを買おうと思っている。,安く旅行するために,"In order to travel cheaply in Japan, I'm thinking of buying a JR pass."
20603,～ため（に）[PURPOSE],"When ため（に）is preceded by a noun or the non-past form of a verb, it indicates either purpose or reason/cause. In different contexts Noun のため（に）also indicates benifit.",in order to; to; for the purpose of for; for the sake of,これは敬語の使い方を練習するためのサイトだ。,for studying,これは敬語の使い方を{}のサイトだ。,練習するため,This is a site for practicing how to use Keigo.
20701,"～ため（に）[reason, cause]","When ため（に）is preceded by an i-adjective or a na-adjective or the past form of a verb, it indicates the reason or cause. When it is preceded by the non-past form of a verb or a noun, it means either reason/cause or purpose. The meaning is determined from the context. When ため（に）means reason/cause, it can be replaced by ~から or ～ので,which are less formal than ～ために。","because, do to",コンピュータが壊れたために、レポートが書けませんでした。,because was broken,コンピュータが{}、レポートが書けませんでした。,壊れたために,I could not write a report because my computer was broken.
20702,"～ため（に）[reason, cause]","When ため（に）is preceded by an i-adjective or a na-adjective or the past form of a verb, it indicates the reason or cause. When it is preceded by the non-past form of a verb or a noun, it means either reason/cause or purpose. The meaning is determined from the context. When ため（に）means reason/cause, it can be replaced by ~から or ～ので,which are less formal than ～ために。","because, do to",勉強が忙しいため、友達と会う時間がない。,because busy,勉強が{}、友達と会う時間がない。,忙しいため,"I am busy with my studies, so I do not have time to meet with my friends."
20703,"～ため（に）[reason, cause]","When ため（に）is preceded by an i-adjective or a na-adjective or the past form of a verb, it indicates the reason or cause. When it is preceded by the non-past form of a verb or a noun, it means either reason/cause or purpose. The meaning is determined from the context. When ため（に）means reason/cause, it can be replaced by ~から or ～ので,which are less formal than ～ために。","because, do to",トムさんは日本語が上手なため、時々通訳を頼まれる。,because skilled,トムさんは日本語が{}、時々通訳を頼まれる。,上手なため,"Because Mr. Tom is good at Japanese, he is sometimes asked be an interpreter."
20801,A か B か,"The phrase A か B か is used to present alternatives. When B か is followed by a case particle (e.g. が、を、へ、に、で、と), the second か is usually dropped.",either A or B; whether A or B ,東京から九州まで新幹線で行くか飛行機で行くか、まで決めていないんです。,Go via shinkansen or go via plane,東京から九州まで｛｝、まで決めていないんです。,新幹線で行くか飛行機で行くか,I have not decided whether to go from Tokyo to Kyushu by Shinkansen or by plane.
20802,A か B か,"The phrase A か B か is used to present alternatives. When B か is followed by a case particle (e.g. が、を、へ、に、で、と), the second か is usually dropped.",either A or B; whether A or B ,今週中にメールを出すか電話をかけるかしますから、待っていてください。,Send out an email or place a phone call,今週中に｛｝しますから、待っていてください。,メールを出すか電話をかけるか,"I will send out an email or call you this week, so please wait."
20803,A か B か,"The phrase A か B か is used to present alternatives. When B か is followed by a case particle (e.g. が、を、へ、に、で、と), the second か is usually dropped.",either A or B; whether A or B ,その店がおいしかったかまずかったか覚えていますか。,Was delicious or was terrible,その店が覚えていますか。,おいしかったかまずかったか,Do you remember whether the store was tasty or not?
